10412,16612,LU0222473364,0.0,Pictet Funds,34;;;;;;;;;;;
10413,16796,,0.0,Pictet Funds,34;;;;;;;;;;;
10414,18746,0.05%,0.0,Pictet Funds,34;;;;;;;;;;;
10415,18946,–,0.0,Pictet Funds,34;;;;;;;;;;;
10416,19196,–,0.0,Pictet Funds,34;;;;;;;;;;;
10417,19598,–,0.0,Pictet Funds,34;;;;;;;;;;;
10418,19887,I,0.0,Pictet Funds,34;;;;;;;;;;;
10419,20200,,0.0,Pictet Funds,34;;;;;;;;;;;
10420,20523,0.18% 0.05%,0.0,Pictet Funds,34;;;;;;;;;;;
10421,21246,Fees (max %) *Service,0.0,Pictet Funds,34;;;;;;;;;;;
10422,21394,0.05%,0.0,Pictet Funds,34;;;;;;;;;;;
10423,21422,CHF,0.0,Pictet Funds,34;;;;;;;;;;;
10424,44,A credit default swap is a bilateral fi-nancial  agreement  under  which  a  counterparty  (the “protection  buyer”)  pays  a  premium  against  an  un-dertaking  by  the  “protection  seller”  to  pay  a  certain amount if the reference issuer is the subject of a credit risk  stipulated  in  the  contract.,1.0,Pictet Funds,35;;;;;;;;;;;
10425,414,37,0.0,Pictet Funds,35;;;;;;;;;;;
10426,431,Investments will be primarily in securities of issuers rated at least P1 and/or A1 for short-term investments and A3/A- for long-term investments.,0.0,Pictet Funds,35;;;;;;;;;;;
"10427,775,""The compartment may use derivative techniques and instruments for efficient management, within the lim-its specified in the investment restrictions."",1.0,Pictet Funds,35";;;;;;;;;;;
10428,1375,6 months).,0.0,Pictet Funds,35;;;;;;;;;;;
"10429,1405,""Manager: PAM SA, PAM Ltd"",0.0,Pictet Funds,35";;;;;;;;;;;
10430,1963,The banking day following the calculation date of the applicable net asset value.,0.0,Pictet Funds,35;;;;;;;;;;;
"10431,2719,""The  net  asset  value  will  not,  however,  be  calculated on days when the market on which a significant por-tion of the Compartment’s assets (25% or more) are invested is closed."",1.0,Pictet Funds,35";;;;;;;;;;;
10432,2843,Investment policy and objectives,0.0,Pictet Funds,35;;;;;;;;;;;
10433,3376,Shares not yet issued that may be activated at a later date:,0.0,Pictet Funds,35;;;;;;;;;;;
10434,3779,•  Who are averse to risk;,0.0,Pictet Funds,35;;;;;;;;;;
"10435,3924,""In addition, the Compartment may invest up to 10% of its net assets in UCIs."",1.0,Pictet Funds,35";;;;;;;;;;;
"10436,4816,""When there is no official rating system, the Board of Directors will decide on acquiring transferable securities with iden-tical quality criteria."",0.0,Pictet Funds,35";;;;;;;;;;;
10437,4931,The compartment is an investment vehicle for inves-tors:,0.0,Pictet Funds,35;;;;;;;;;;;
10438,5631,Investor type profile,0.0,Pictet Funds,35;;;;;;;;;;;
10439,6558,Frequency of NAV calculations,0.0,Pictet Funds,35;;;;;;;;;;;
10440,7440,SubscriptionBy 12:00 noon on the NAV calculation day.,0.0,Pictet Funds,35;;;;;;;;;;;
10441,7940,A minimum of two-thirds of its net assets will be de-nominated in US dollars and the investments not de-nominated in US dollars will generally be hedged in order to avoid exposure to a currency other than the US dollar.,1.0,Pictet Funds,35;;;;;;;;;;;
"10442,7964,""The compartment may also invest in structured prod-ucts,  such  as  bonds  or  other  transferable  securities whose  returns  are  linked  to  the  performance  of  an index, transferable securities or a basket of transfer-able  securities,  or  an  undertaking  for  collective  in-vestment, for example."",1.0,Pictet Funds,35";;;;;;;;;;;
10443,8528,The  pro tection  buyer acquires the right to sell a particular bond issued by the  reference  issuer  at  its  face  value  (or  at  another base  value  or  strike  price)  if  a  credit  risk  arises.,0.0,Pictet Funds,35;;;;;;;;;;;
"10444,8593,""These investments, combined with liquid asset hold-ings and money market instruments that are regularly traded and whose residual maturity does not exceed 12  months,  will  represent  at  least  two-thirds  of  the Compartment’s assets."",1.0,Pictet Funds,35";;;;;;;;;;;
10445,10894,Consolidation currency of the compartment: USD,0.0,Pictet Funds,35;;;;;;;;;;;
"10446,11110,""Specifically,  the  compartment  may  conduct  credit default swaps."",0.0,Pictet Funds,35";;;;;;;;;;;
10447,11158,Payment value date for subscriptions and redemptions,0.0,Pictet Funds,35;;;;;;;;;;;
10448,12114,A minimum identical rating will apply to financial institutions where liquid assets held on an ancillary basis are deposited.,0.0,Pictet Funds,35;;;;;;;;;;;
"10449,14795,""The International  Swaps  and  Derivatives  Association (ISDA)  has  published  standardised  documentation for  these  transactions,  included  in  the  ISDA  Master Agreement."",0.0,Pictet Funds,35";;;;;;;;;;;
10450,14807,RedemptionBy 12:00 noon on the NAV calculation day.,0.0,Pictet Funds,35;;;;;;;;;;;
10451,14928,The original French text is the legally binding version,0.0,Pictet Funds,35;;;;;;;;;;;
10452,17043,The residual maturity of each investment will not exceed three years.,0.0,Pictet Funds,35;;;;;;;;;;;
10453,17592,ConversionThe most restrictive time period of the two compart-ments concerned.,0.0,Pictet Funds,35;;;;;;;;;;;
10454,17777,“Z Distr” and “J Cap” shares as defined in the section “Sub-classes of Shares”.,0.0,Pictet Funds,35;;;;;;;;;;;
"10455,17906,""Each banking day in Luxembourg as well as the first calendar day of the month, unless the first day of the month is a Saturday or a Sunday."",0.0,Pictet Funds,35";;;;;;;;;;;
10456,18050,4.  PICTET FUNDS (LUX) – USD LIQUIDITY,0.0,Pictet Funds,35;;;;;;;;;;;
10457,18116,•  Who prefer a short-term saving strategy (at least,0.0,Pictet Funds,35;;;;;;;;;;;
10458,18267,Remittance of orders,0.0,Pictet Funds,35;;;;;;;;;;;
10459,18397,The  compartment’s  investment  horizon  will  be primarily the short term.,0.0,Pictet Funds,35;;;;;;;;;;;
"10460,19247,""A credit risk generally includes bankruptcy, insolvency, court-ordered  reorganisation/liquida tion,  reschedul-ing  of  debts  or  non-payment  of  debts  payable."",0.0,Pictet Funds,35";;;;;;;;;;;
"10461,19913,""This compartment aims to offer investors a high level of  protection  for  their  capital  denominated  in  U.S. dollars by investing in fixed-income transferable se-curities, such as bonds, Treasury bills and securities issued  by  governments  or  their  departments,  euro-bonds and floating-rate bonds."",0.0,Pictet Funds,35";;;;;;;;;;;
10462,20687,Initial  subscription  price:  The  net  asset  value  of  the “P Distr” share and “P Cap” share respectively on the day they are activated.,0.0,Pictet Funds,35;;;;;;;;;;;
10463,21003,The  average  residual  duration  of  the  assets  of  this compartment  (the  “duration”)  cannot  exceed  one year.,0.0,Pictet Funds,35;;;;;;;;;;;
10464,21436,Investors should be aware that the acquisition of derivative instruments involves certain risks that could have a negative effect on the performance of the compartment.,0.0,Pictet Funds,35;;;;;;;;;;;
10465,21691,•  Who  wish  to  invest  in  high  quality  short-term fixed  income  securities  denominated  in  US  dol-lars;,0.0,Pictet Funds,35;;;;;;;;;;
10466,207,–,0.0,Pictet Funds,36;;;;;;;;;;;
10467,208,1 million,0.0,Pictet Funds,36;;;;;;;;;;;
10468,212,50 million,0.0,Pictet Funds,36;;;;;;;;;;;
10469,484,0.05%,0.0,Pictet Funds,36;;;;;;;;;;;
10470,526,USD,0.0,Pictet Funds,36;;;;;;;;;;;
10471,557,Type of share Acti vated,0.0,Pictet Funds,36;;;;;;;;;;;
10472,591,PICTET FUNDS (LUX) – USD LIQUIDITY,0.0,Pictet Funds,36;;;;;;;;;;;
10473,694,LU0474963658,0.0,Pictet Funds,36;;;;;;;;;;;
10474,1013,,0.0,Pictet Funds,36;;;;;;;;;;;
10475,1412,,0.0,Pictet Funds,36;;;;;;;;;;;
10476,1639,0.05%,0.0,Pictet Funds,36;;;;;;;;;;;
10477,2210,Per year of the average net assets attributable to this type of share.,0.0,Pictet Funds,36;;;;;;;;;;;
10478,2565,0.15% 0.10%,0.0,Pictet Funds,36;;;;;;;;;;;
10479,2814,*,0.0,Pictet Funds,36;;;;;;;;;;;
10480,2911,ISIN code,0.0,Pictet Funds,36;;;;;;;;;;;
10481,4357,USD,0.0,Pictet Funds,36;;;;;;;;;;;
10482,4430,Base currency,0.0,Pictet Funds,36;;;;;;;;;;;
10483,4466,Custodian Bank,0.0,Pictet Funds,36;;;;;;;;;;;
10484,4586,–,0.0,Pictet Funds,36;;;;;;;;;;;
10485,4634,–,0.0,Pictet Funds,36;;;;;;;;;;;
10486,4926,0.10% 0.10%,0.0,Pictet Funds,36;;;;;;;;;;;
10487,5339,USD,0.0,Pictet Funds,36;;;;;;;;;;;
10488,5387,LU0222474172,0.0,Pictet Funds,36;;;;;;;;;;;
10489,5668,0.05%,0.0,Pictet Funds,36;;;;;;;;;;;
10490,5745,Z Distr,0.0,Pictet Funds,36;;;;;;;;;;;
10491,5761,Z Cap,0.0,Pictet Funds,36;;;;;;;;;;;
10492,6009,LU0128497707,0.0,Pictet Funds,36;;;;;;;;;;;
10493,6268,0%,0.0,Pictet Funds,36;;;;;;;;;;;
10494,6452,LU0128497889,0.0,Pictet Funds,36;;;;;;;;;;;
10495,7010,0.60% 0.10%,0.0,Pictet Funds,36;;;;;;;;;;;
10496,7172,–,0.0,Pictet Funds,36;;;;;;;;;;;
10497,7402,–,0.0,Pictet Funds,36;;;;;;;;;;;
10498,7641,Manage-ment,0.0,Pictet Funds,36;;;;;;;;;;;
10499,7730,USD,0.0,Pictet Funds,36;;;;;;;;;;;
10500,7798,–,0.0,Pictet Funds,36;;;;;;;;;;;
10501,8996,USD,0.0,Pictet Funds,36;;;;;;;;;;;
10502,9470,USD,0.0,Pictet Funds,36;;;;;;;;;;;
10503,9607,–,0.0,Pictet Funds,36;;;;;;;;;;;
10504,9610,I,0.0,Pictet Funds,36;;;;;;;;;;;
10505,9723,Fees (max %) *Service,0.0,Pictet Funds,36;;;;;;;;;;;
10506,9824,0.05%,0.0,Pictet Funds,36;;;;;;;;;;;
10507,10167,LU0128496485,0.0,Pictet Funds,36;;;;;;;;;;;
10508,10350,–,0.0,Pictet Funds,36;;;;;;;;;;;
10509,11185,USD,0.0,Pictet Funds,36;;;;;;;;;;;
10510,11490,–,0.0,Pictet Funds,36;;;;;;;;;;;
10511,11584,–,0.0,Pictet Funds,36;;;;;;;;;;;
10512,11760,0.05%,0.0,Pictet Funds,36;;;;;;;;;;;
10513,13077,USD,0.0,Pictet Funds,36;;;;;;;;;;;
10514,13495,0%,0.0,Pictet Funds,36;;;;;;;;;;;
10515,13703,0.10%,0.0,Pictet Funds,36;;;;;;;;;;;
10516,13906,R,0.0,Pictet Funds,36;;;;;;;;;;;
10517,14308,0.10%,0.0,Pictet Funds,36;;;;;;;;;;;
10518,14641,USD,0.0,Pictet Funds,36;;;;;;;;;;;
10519,15200,P Cap,0.0,Pictet Funds,36;;;;;;;;;;;
10520,15243,LU0474963575,0.0,Pictet Funds,36;;;;;;;;;;;
10521,15271,,0.0,Pictet Funds,36;;;;;;;;;;;
10522,15293,,0.0,Pictet Funds,36;;;;;;;;;;;
10523,15469,USD,0.0,Pictet Funds,36;;;;;;;;;;;
10524,15576,–,0.0,Pictet Funds,36;;;;;;;;;;;
10525,15998,0.05%,0.0,Pictet Funds,36;;;;;;;;;;;
10526,16121,P Distr,0.0,Pictet Funds,36;;;;;;;;;;;
10527,16285,0.05%,0.0,Pictet Funds,36;;;;;;;;;;;
10528,16461,J Cap,0.0,Pictet Funds,36;;;;;;;;;;;
10529,17103,Initial min.,0.0,Pictet Funds,36;;;;;;;;;;;
10530,17135,USD,0.0,Pictet Funds,36;;;;;;;;;;;
10531,17421,38,0.0,Pictet Funds,36;;;;;;;;;;;
10532,17567,Subscription and redemption currencies,0.0,Pictet Funds,36;;;;;;;;;;;
10533,17718,Dividend distribution,0.0,Pictet Funds,36;;;;;;;;;;;
10534,18210,0.30% 0.10%,0.0,Pictet Funds,36;;;;;;;;;;;
10535,18369,–,0.0,Pictet Funds,36;;;;;;;;;;;
10536,18803,USD,0.0,Pictet Funds,36;;;;;;;;;;;
10537,19070,LU0128497293,0.0,Pictet Funds,36;;;;;;;;;;;
10538,19083,,0.0,Pictet Funds,36;;;;;;;;;;;
10539,19488,,0.0,Pictet Funds,36;;;;;;;;;;;
10540,19569,,0.0,Pictet Funds,36;;;;;;;;;;;
10541,20576,The original French text is the legally binding version,0.0,Pictet Funds,36;;;;;;;;;;;
10542,20881,USD,0.0,Pictet Funds,36;;;;;;;;;;;
10543,21052,USD,0.0,Pictet Funds,36;;;;;;;;;;;
10544,21641,0.30% 0.10%,0.0,Pictet Funds,36;;;;;;;;;;;
10545,70,The banking day following the calculation date of the applicable net asset value.,0.0,Pictet Funds,37;;;;;;;;;;;
10546,201,•  Who prefer a short-term saving strategy (at least,0.0,Pictet Funds,37;;;;;;;;;;;
10547,722,5.  PICTET FUNDS (LUX) – EUR LIQUIDITY,0.0,Pictet Funds,37;;;;;;;;;;;
10548,1403,•  Who  wish  to  invest  in  high  quality  short-term fixed-income securities denominated in euros;,0.0,Pictet Funds,37;;;;;;;;;;
10549,1693,Investors should be aware that the acquisition of derivative instruments involves certain risks that could have a negative effect on the performance of the compartment.,0.0,Pictet Funds,37;;;;;;;;;;;
"10550,1835,""The  net  asset  value  will  not,  however,  be  calculated on days when the market on which a significant por-tion of the Compartment’s assets (25% or more) are invested is closed."",1.0,Pictet Funds,37";;;;;;;;;;;
10551,2103,Payment value date for subscriptions and redemptions,0.0,Pictet Funds,37;;;;;;;;;;;
"10552,2425,""Each banking day in Luxembourg as well as the first calendar day of the month, unless the first day of the month is a Saturday or a Sunday."",0.0,Pictet Funds,37";;;;;;;;;;;
10553,2810,A minimum identical rating will apply to financial institutions where liquid assets held on an ancillary basis are deposited.,0.0,Pictet Funds,37;;;;;;;;;;;
10554,3438,“Z Distr” and “J Cap” shares as defined in the section “Sub-classes of Shares”.,0.0,Pictet Funds,37;;;;;;;;;;;
10555,4514,RedemptionBy 12:00 noon on the NAV calculation day.,0.0,Pictet Funds,37;;;;;;;;;;;
10556,5302,Shares not yet issued that may be activated at a later date:,0.0,Pictet Funds,37;;;;;;;;;;;
"10557,6103,""These investments, combined with liquid asset hold-ings and money market instruments that are regularly traded and whose residual maturity does not exceed 12  months,  will  represent  at  least  two-thirds  of  the Compartment’s assets."",1.0,Pictet Funds,37";;;;;;;;;;;
10558,7026,Initial  subscription  price:  The  net  asset  value  of  the “P Distr” share and “P Cap” share respectively on the day they are activated.,0.0,Pictet Funds,37;;;;;;;;;;;
10559,7803,The  compartment’s  investment  horizon  will  be primarily the short term.,0.0,Pictet Funds,37;;;;;;;;;;;
10560,9094,ConversionThe most restrictive time period of the two compart-ments concerned.,0.0,Pictet Funds,37;;;;;;;;;;;
10561,9586,Remittance of orders,0.0,Pictet Funds,37;;;;;;;;;;;
"10562,10500,""The International Swaps and Deriva-tives Association (ISDA) has published standardised documentation for these transactions, included in the ISDA Master Agreement."",0.0,Pictet Funds,37";;;;;;;;;;;
10563,11516,The  pro tection buyer acquires the right to sell a particular bond is-sued  by  the  reference  issuer  at  its  face  value  (or  at another  base  value  or  strike  price)  if  a  credit  risk arises.,0.0,Pictet Funds,37;;;;;;;;;;;
"10564,12195,""The compartment may also invest in structured prod-ucts,  such  as  bonds  or  other  transferable  securities whose  returns  are  linked  to  the  performance  of  an index, transferable securities or a basket of transfer-able  securities,  or  an  undertaking  for  collective  in-vestment, for example."",1.0,Pictet Funds,37";;;;;;;;;;;
10565,12568,•  Who are averse to risk;,0.0,Pictet Funds,37;;;;;;;;;;
10566,12790,Investments will be primarily in securities of issuers rated at least P1 and/or A1 for short-term investments and A3/A- for long-term investments.,0.0,Pictet Funds,37;;;;;;;;;;;
10567,13541,A credit default swap is a bilateral fi-nancial  agreement  under  which  a  counterparty  (the “protection  buyer”)  pays  a  premium  against  an  un-dertaking  by  the  “protection  seller”  to  pay  a  certain amount  if  the  reference  issuer  is  the  subject  of  a credit  risk  stipulated  in  the  contract.,1.0,Pictet Funds,37;;;;;;;;;;;
10568,13680,The original French text is the legally binding version,0.0,Pictet Funds,37;;;;;;;;;;;
"10569,13987,""Specifically,  the  compartment  may  conduct  credit default swaps."",0.0,Pictet Funds,37";;;;;;;;;;;
10570,14036,Frequency of NAV calculations,0.0,Pictet Funds,37;;;;;;;;;;;
"10571,14529,""When there is no official rating system, the Board of Directors will decide on acquiring transferable securities with iden-tical quality criteria."",0.0,Pictet Funds,37";;;;;;;;;;;
10572,15216,Investment policy and objectives,0.0,Pictet Funds,37;;;;;;;;;;;
"10573,15624,""In addition, the Compartment may invest up to 10% of its net assets in UCIs."",1.0,Pictet Funds,37";;;;;;;;;;;
10574,15906,Consolidation currency of the compartment: EUR,0.0,Pictet Funds,37;;;;;;;;;;;
"10575,16162,""The compartment may use derivative techniques and instruments for efficient management, within the lim-its specified in the investment restrictions."",1.0,Pictet Funds,37";;;;;;;;;;;
10576,16676,The compartment is an investment vehicle for inves-tors:,0.0,Pictet Funds,37;;;;;;;;;;;
"10577,17274,""Manager: PAM SA, PAM Ltd"",0.0,Pictet Funds,37";;;;;;;;;;;
10578,17484,39,0.0,Pictet Funds,37;;;;;;;;;;;
"10579,17743,""This compartment aims to offer investors a high level of  protection  for  their  capital  denominated  in  euros by  investing  in  fixed-income  transferable  securities, such as bonds, Treasury bills and securities issued by governments  or  their  departments,  eurobonds  and floating-rate bonds."",0.0,Pictet Funds,37";;;;;;;;;;;
10580,18226,6 months).,0.0,Pictet Funds,37;;;;;;;;;;;
"10581,19038,""A  credit  risk  generally  includes  bankruptcy, insolvency, court-ordered reorganisation/liquida tion, rescheduling  of  debts  in  arrears  or  non-payment  of debts payable."",0.0,Pictet Funds,37";;;;;;;;;;;
10582,19537,Investor type profile,0.0,Pictet Funds,37;;;;;;;;;;;
10583,19602,The  average  residual  duration  of  the  assets  of  this compartment  (the  “duration”)  cannot  exceed  one year.,0.0,Pictet Funds,37;;;;;;;;;;;
10584,20070,SubscriptionBy 12:00 noon on the NAV calculation day.,0.0,Pictet Funds,37;;;;;;;;;;;
10585,20770,A minimum of two-thirds of its total assets or wealth will be denominated in euros and the investments not denominated in euros will generally be hedged in or-der  to  avoid  exposure  to  a  currency  other  than  the euro.,1.0,Pictet Funds,37;;;;;;;;;;;
10586,21237,The residual maturity of each in-vestment will not exceed three years.,0.0,Pictet Funds,37;;;;;;;;;;;
10587,38,–,0.0,Pictet Funds,38;;;;;;;;;;;
10588,46,0.30% 0.10%,0.0,Pictet Funds,38;;;;;;;;;;;
10589,500,LU0128495834,0.0,Pictet Funds,38;;;;;;;;;;;
10590,573,0%,0.0,Pictet Funds,38;;;;;;;;;;;
10591,836,Custodian Bank,0.0,Pictet Funds,38;;;;;;;;;;;
10592,1303,,0.0,Pictet Funds,38;;;;;;;;;;;
10593,1383,–,0.0,Pictet Funds,38;;;;;;;;;;;
10594,1696,J Cap,0.0,Pictet Funds,38;;;;;;;;;;;
10595,2180,–,0.0,Pictet Funds,38;;;;;;;;;;;
10596,2736,EUR,0.0,Pictet Funds,38;;;;;;;;;;;
10597,2800,0.05%,0.0,Pictet Funds,38;;;;;;;;;;;
10598,3223,,0.0,Pictet Funds,38;;;;;;;;;;;
10599,3484,EUR,0.0,Pictet Funds,38;;;;;;;;;;;
10600,3594,0.60% 0.10%,0.0,Pictet Funds,38;;;;;;;;;;;
10601,3748,LU0222474503,0.0,Pictet Funds,38;;;;;;;;;;;
10602,3797,EUR,0.0,Pictet Funds,38;;;;;;;;;;;
10603,4379,40,0.0,Pictet Funds,38;;;;;;;;;;;
10604,4823,–,0.0,Pictet Funds,38;;;;;;;;;;;
10605,5221,EUR,0.0,Pictet Funds,38;;;;;;;;;;;
10606,5665,0.10%,0.0,Pictet Funds,38;;;;;;;;;;;
10607,5742,LU0474963815,0.0,Pictet Funds,38;;;;;;;;;;;
10608,5940,,0.0,Pictet Funds,38;;;;;;;;;;;
10609,5970,Z Distr,0.0,Pictet Funds,38;;;;;;;;;;;
10610,6010,The original French text is the legally binding version,0.0,Pictet Funds,38;;;;;;;;;;;
10611,6264,,0.0,Pictet Funds,38;;;;;;;;;;;
10612,6781,Subscription and redemption currencies,0.0,Pictet Funds,38;;;;;;;;;;;
10613,6926,0.10% 0.10%,0.0,Pictet Funds,38;;;;;;;;;;;
10614,7277,PICTET FUNDS (LUX) – EUR LIQUIDITY,0.0,Pictet Funds,38;;;;;;;;;;;
10615,7316,,0.0,Pictet Funds,38;;;;;;;;;;;
10616,7363,LU0128494191,0.0,Pictet Funds,38;;;;;;;;;;;
10617,7599,EUR,0.0,Pictet Funds,38;;;;;;;;;;;
10618,7790,–,0.0,Pictet Funds,38;;;;;;;;;;;
10619,7982,P Cap,0.0,Pictet Funds,38;;;;;;;;;;;
10620,8808,LU0474963732,0.0,Pictet Funds,38;;;;;;;;;;;
10621,8912,0.05%,0.0,Pictet Funds,38;;;;;;;;;;;
10622,9188,P Distr,0.0,Pictet Funds,38;;;;;;;;;;;
10623,9312,–,0.0,Pictet Funds,38;;;;;;;;;;;
10624,9433,LU0128494514,0.0,Pictet Funds,38;;;;;;;;;;;
10625,9463,Manage-ment,0.0,Pictet Funds,38;;;;;;;;;;;
10626,9743,EUR,0.0,Pictet Funds,38;;;;;;;;;;;
10627,10397,–,0.0,Pictet Funds,38;;;;;;;;;;;
10628,10736,0.05%,0.0,Pictet Funds,38;;;;;;;;;;;
10629,12029,,0.0,Pictet Funds,38;;;;;;;;;;;
10630,12303,*,0.0,Pictet Funds,38;;;;;;;;;;;
10631,12313,EUR,0.0,Pictet Funds,38;;;;;;;;;;;
10632,12330,0.15% 0.10%,0.0,Pictet Funds,38;;;;;;;;;;;
10633,12503,EUR,0.0,Pictet Funds,38;;;;;;;;;;;
10634,12612,EUR,0.0,Pictet Funds,38;;;;;;;;;;;
10635,13293,Z Cap,0.0,Pictet Funds,38;;;;;;;;;;;
10636,13725,0.05%,0.0,Pictet Funds,38;;;;;;;;;;;
10637,14007,0%,0.0,Pictet Funds,38;;;;;;;;;;;
10638,14099,–,0.0,Pictet Funds,38;;;;;;;;;;;
10639,14121,,0.0,Pictet Funds,38;;;;;;;;;;;
10640,14133,0.10%,0.0,Pictet Funds,38;;;;;;;;;;;
10641,14549,Dividend distribution,0.0,Pictet Funds,38;;;;;;;;;;;
10642,14686,Base currency,0.0,Pictet Funds,38;;;;;;;;;;;
10643,15043,EUR,0.0,Pictet Funds,38;;;;;;;;;;;
10644,15084,–,0.0,Pictet Funds,38;;;;;;;;;;;
10645,15423,EUR,0.0,Pictet Funds,38;;;;;;;;;;;
10646,15591,50 million,0.0,Pictet Funds,38;;;;;;;;;;;
10647,15687,LU0128494944,0.0,Pictet Funds,38;;;;;;;;;;;
10648,16381,R,0.0,Pictet Funds,38;;;;;;;;;;;
10649,16866,ISIN code,0.0,Pictet Funds,38;;;;;;;;;;;
10650,17100,I,0.0,Pictet Funds,38;;;;;;;;;;;
10651,17692,0.05%,0.0,Pictet Funds,38;;;;;;;;;;;
10652,17707,EUR,0.0,Pictet Funds,38;;;;;;;;;;;
10653,17809,Per year of the average net assets attributable to this type of share.,0.0,Pictet Funds,38;;;;;;;;;;;
10654,18717,Fees (max %) *Service,0.0,Pictet Funds,38;;;;;;;;;;;
10655,18901,0.05%,0.0,Pictet Funds,38;;;;;;;;;;;
10656,19396,1 million,0.0,Pictet Funds,38;;;;;;;;;;;
10657,19742,EUR,0.0,Pictet Funds,38;;;;;;;;;;;
10658,20017,–,0.0,Pictet Funds,38;;;;;;;;;;;
10659,20275,EUR,0.0,Pictet Funds,38;;;;;;;;;;;
10660,20373,0.30% 0.10%,0.0,Pictet Funds,38;;;;;;;;;;;
10661,20453,–,0.0,Pictet Funds,38;;;;;;;;;;;
10662,20623,–,0.0,Pictet Funds,38;;;;;;;;;;;
10663,20668,0.05%,0.0,Pictet Funds,38;;;;;;;;;;;
10664,20870,Type of share Acti vated,0.0,Pictet Funds,38;;;;;;;;;;;
10665,21750,Initial min.,0.0,Pictet Funds,38;;;;;;;;;;;
"10666,863,""Investments in  government  bonds,  generally  those  issued  by OECD member countries, may nevertheless be con-ducted when necessitated by market conditions."",1.0,Pictet Funds,39";;;;;;;;;;;
10667,1223,Investment policy and objectives,0.0,Pictet Funds,39;;;;;;;;;;;
10668,1544,41,0.0,Pictet Funds,39;;;;;;;;;;;
10669,1562,ConversionThe most restrictive time period of the two compart-ments concerned.,0.0,Pictet Funds,39;;;;;;;;;;;
"10670,2022,""The compartment may use derivative techniques and instruments for efficient management, within the lim-its specified in the investment restrictions."",1.0,Pictet Funds,39";;;;;;;;;;;
10671,2662,least 3 years).,0.0,Pictet Funds,39;;;;;;;;;;;
10672,3148,The  pro tection  buyer acquires the right to sell a particular bond issued by the  reference  issuer  at  its  face  value  (or  at  another base  value  or  strike  price)  if  a  credit  risk  arises.,0.0,Pictet Funds,39;;;;;;;;;;;
"10673,3328,""Specifically,  the  compartment  may  conduct  credit default swaps."",0.0,Pictet Funds,39";;;;;;;;;;;
"10674,4409,""Manager: PAM SA, PAM Ltd"",0.0,Pictet Funds,39";;;;;;;;;;;
10675,4626,A credit default swap is a bilateral fi-nancial  agreement  under  which  a  counterparty  (the “protection  buyer”)  pays  a  premium  against  an  un-dertaking  by  the  “protection  seller”  to  pay  a  certain amount if the reference issuer is the subject of a credit risk  stipulated  in  the  contract.,1.0,Pictet Funds,39;;;;;;;;;;;
10676,5660,A minimum of two-thirds of its total assets or wealth will be denominated in euros.,0.0,Pictet Funds,39;;;;;;;;;;;
"10677,7396,""Investments whose rating is less than  Moody’s  Baa3  or  Standard  &  Poor’s  BBB-  or equivalent  quality  based  on  the  manager’s  analysis will not exceed 25% of the net assets of the compart-ment, provided that the exposure to an issuer of that quality  does  not  exceed  1.5%  of  the  compartment’s net assets."",1.0,Pictet Funds,39";;;;;;;;;;;
10678,8031,Consolidation currency of the compartment: EUR,0.0,Pictet Funds,39;;;;;;;;;;;
"10679,8038,""The compartment may also invest in structured prod-ucts,  such  as  bonds  or  other  transferable  securities whose  returns  are  linked  to  the  performance  of  an index, transferable securities or a basket of transfer-able  securities,  or  an  undertaking  for  collective  in-vestment, for example."",1.0,Pictet Funds,39";;;;;;;;;;;
"10680,8282,""This  Compartment  invests  at  least  two-thirds  of  its assets  without  geographic  limitation  in  a  diversified portfolio  of  bonds  and  convertible  bonds  issued  by private  companies,  within  the  limits  allowed  by  the investment restrictions."",1.0,Pictet Funds,39";;;;;;;;;;;
10681,8630,RedemptionBy  3:00  pm  on  the  banking  day  preceding  the  NAV calculation date.,0.0,Pictet Funds,39;;;;;;;;;;;
10682,8889,Payment value date for subscriptions and redemptions,0.0,Pictet Funds,39;;;;;;;;;;;
10683,9213,SubscriptionBy  3:00  pm  on  the  banking  day  preceding  the  NAV calculation date.,0.0,Pictet Funds,39;;;;;;;;;;;
"10684,11463,""Using  credit  risk  analysis  of  companies  and  their sectors,  the  compartment  aims  to  generate  a  return greater than that of government bonds."",0.0,Pictet Funds,39";;;;;;;;;;;
10685,11532,6.  PICTET FUNDS (LUX) – EUR CORPORATE BONDS,0.0,Pictet Funds,39;;;;;;;;;;;
10686,13047,The original French text is the legally binding version,0.0,Pictet Funds,39;;;;;;;;;;;
10687,13829,•  Who  prefer  a  medium-term  saving  strategy  (at,0.0,Pictet Funds,39;;;;;;;;;;;
10688,14493,Within 2 banking days of the applicable NAV.,0.0,Pictet Funds,39;;;;;;;;;;;
"10689,14583,""•  Who  wish  to  invest  in  high  quality  short-term fixed income securities denominated in euros, is-sued by investment grade companies";",0.0,Pictet Funds,39
10690,14731,The  net  asset  value  will  not  be  calculated  for  days when  prices  for  at  least  25%  of  the  Compartment’s assets are not available due to the closure of agents on the relevant investment markets.,0.0,Pictet Funds,39
10691,14771,Investor type profile,0.0,Pictet Funds,39
10692,15428,•  Who have some aversion to risk;,0.0,Pictet Funds,39
10693,15570,The International  Swaps  and  Derivatives  Association (ISDA)  has  published  standardised  documentation for  these  transactions,  included  in  the  ISDA  Master Agreement."",0.0,Pictet Funds,39";;;;;;;;;;
